lap_time,compound,flag,pitted,lap,total_time
0.0,HARD,0,False,0,0.0
87.0891183766845,HARD,0,False,1,87.0891183766845
82.03738873538659,HARD,0,False,2,169.12650711207107
81.72468895219913,HARD,0,False,3,250.8511960642702
82.25253852215808,HARD,0,False,4,333.1037345864283
82.33527912322609,HARD,0,False,5,415.4390137096544
83.0436583195002,HARD,0,False,6,498.48267202915457
83.33388849094524,HARD,0,False,7,581.8165605200998
83.55937289396365,HARD,0,False,8,665.3759334140634
83.50852599015063,HARD,0,False,9,748.884459404214
84.10140117354173,HARD,0,False,10,832.9858605777557
83.77282203487889,HARD,0,False,11,916.7586826126346
84.21056227757491,HARD,0,False,12,1000.9692448902096
83.87445949779344,HARD,0,False,13,1084.843704388003
83.48186195099294,HARD,0,False,14,1168.325566338996
83.6394554896635,HARD,0,False,15,1251.9650218286595
84.19972631817222,HARD,0,False,16,1336.1647481468317
83.20350947806352,HARD,0,False,17,1419.3682576248953
83.33556387977751,HARD,0,False,18,1502.7038215046728
83.16549411710001,HARD,0,False,19,1585.8693156217728
82.9702174429117,HARD,0,False,20,1668.8395330646845
145.36024197289066,SOFT,1,True,21,1814.1997750375751
82.76076534484338,SOFT,0,False,22,1896.9605403824185
82.07284916903815,SOFT,0,False,23,1979.0333895514566
82.14107074549149,SOFT,0,False,24,2061.174460296948
81.68530686505899,SOFT,0,False,25,2142.859767162007
81.85615848395423,SOFT,0,False,26,2224.715925645961
81.83058101744861,SOFT,0,False,27,2306.5465066634097
81.95645606306452,SOFT,0,False,28,2388.5029627264744
82.33057273746458,SOFT,0,False,29,2470.833535463939
82.58859873858516,SOFT,0,False,30,2553.422134202524
82.84215063686779,SOFT,0,False,31,2636.2642848393916
83.11018272902187,SOFT,0,False,32,2719.3744675684134
83.03196166597456,SOFT,0,False,33,2802.406429234388
82.81154284880984,SOFT,0,False,34,2885.2179720831978
82.46520369873164,SOFT,0,False,35,2967.6831757819295
104.72561261263336,MEDIUM,0,True,36,3072.408788394563
81.49104915317427,MEDIUM,0,False,37,3153.899837547737
80.91252543607976,MEDIUM,0,False,38,3234.812362983817
81.10442248214781,MEDIUM,0,False,39,3315.9167854659645
81.5685415613387,MEDIUM,0,False,40,3397.4853270273034
81.28219717120238,MEDIUM,0,False,41,3478.7675241985057
125.9405074098669,MEDIUM,1,False,42,3604.7080316083725
80.4994268738164,MEDIUM,0,False,43,3685.207458482189
80.61291402081386,MEDIUM,0,False,44,3765.820372503003
80.90161387748509,MEDIUM,0,False,45,3846.721986380488
80.85852204755045,MEDIUM,0,False,46,3927.5805084280387
103.6399906512978,MEDIUM,0,True,47,4031.2204990793366
80.53138283648987,MEDIUM,0,False,48,4111.751881915827
80.73040358258285,MEDIUM,0,False,49,4192.4822854984095
80.72580709448438,MEDIUM,0,False,50,4273.208092592894
80.52756813964555,MEDIUM,0,False,51,4353.735660732539
80.60102874686056,MEDIUM,0,False,52,4434.3366894794
80.82485547601591,MEDIUM,0,False,53,4515.161544955416
80.3340253235669,MEDIUM,0,False,54,4595.495570278982
81.31109696017518,MEDIUM,0,False,55,4676.806667239157
80.4550612404928,MEDIUM,0,False,56,4757.26172847965
81.09294297814564,MEDIUM,0,False,57,4838.354671457795
126.33318221908158,MEDIUM,1,False,58,4964.687853676876
126.37992766320384,MEDIUM,1,False,59,5091.06778134008
126.3140925609766,MEDIUM,1,False,60,5217.381873901057
81.0223212240981,MEDIUM,0,False,61,5298.404195125155
80.73930094732698,MEDIUM,0,False,62,5379.143496072482
81.81999671573341,MEDIUM,0,False,63,5460.963492788215
81.48543936109425,MEDIUM,0,False,64,5542.448932149309
82.48892174438566,MEDIUM,0,False,65,5624.937853893695
81.77457416706183,MEDIUM,0,False,66,5706.712428060757
